Date,Open,High,Low,Close,Adj Close,Volume
2014-01-30,68.410004,69.820000,67.940002,68.680000,68.680000,26500
2014-01-31,67.940002,69.150002,67.940002,68.279999,68.279999,23300
2014-02-03,68.279999,68.750000,66.000000,66.099998,66.099998,33800
2014-02-04,66.309998,66.900002,66.070000,66.150002,66.150002,24500
2014-02-05,66.150002,66.709999,65.739998,66.529999,66.529999,33400
2014-02-06,66.250000,67.370003,66.010002,66.860001,66.860001,36300
2014-02-07,67.320000,68.459999,67.320000,67.940002,67.940002,30900
2014-02-10,68.389999,69.180000,67.980003,68.730003,68.730003,30100
2014-02-11,69.080002,69.720001,68.699997,69.470001,69.470001,23200
2014-02-12,69.400002,70.099998,68.910004,69.389999,69.389999,24600
2014-02-13,69.440002,72.449997,69.440002,71.940002,71.940002,27800
2014-02-14,72.010002,73.099998,71.699997,72.269997,72.269997,25400
2014-02-18,72.849998,73.440002,71.510002,73.129997,73.129997,27100
2014-02-19,72.669998,72.940002,71.970001,72.430000,72.430000,25100
2014-02-20,72.029999,73.720001,72.029999,73.510002,73.510002,10900
2014-02-21,73.500000,75.000000,72.970001,74.650002,74.650002,22500
2014-02-24,74.739998,75.930000,74.699997,75.660004,75.660004,31800
2014-02-25,75.980003,75.980003,74.639999,75.169998,75.169998,10100
2014-02-26,74.879997,75.989998,74.669998,75.000000,75.000000,12400
2014-02-27,74.959999,75.809998,74.830002,75.559998,75.559998,12400
2014-02-28,75.720001,76.519997,75.570000,75.639999,75.639999,20200
2014-03-03,76.769997,80.570000,76.019997,79.959999,79.959999,131500
2014-03-04,80.260002,84.889999,79.790001,84.339996,84.339996,242200
2014-03-05,83.790001,85.870003,82.510002,85.459999,85.459999,74700
2014-03-06,85.940002,87.540001,84.540001,86.089996,86.089996,54100
2014-03-07,86.099998,87.080002,84.620003,86.570000,86.570000,45100
2014-03-10,89.400002,89.400002,86.489998,87.339996,87.339996,32200
2014-03-11,87.489998,87.760002,86.330002,87.160004,87.160004,37400
